"SIRET","SIREN","Raison_sociale","Nom_usuel","Nom_usuel_source","Nom_usuel_alternatif","Date_changement_nom","Flag_changement_nom","Siege","Appartient_groupe","Nom_groupe","Date_creation","Drive_accole","Date_creation_drive","Drive_deporte","Code_NAF","Libelle_NAF","Adresse","Code_IRIS","Zone_etude"
"45132133501120","451321335",,"CARREFOUR","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2006-02-01",TRUE,,FALSE,"4711F","NAFRev2","1 Boulevard DES ALPES, 38240, MEYLAN","382290401",TRUE
"97828380200012","978283802",,"CARREFOUR CITY","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2023-09-01",FALSE,,FALSE,"4711D","NAFRev2","9 Rue GUETAL, 38000, GRENOBLE","381850205",TRUE
"98245083500011","982450835",,"CARREFOUR EXPRESS","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2023-12-09",FALSE,,FALSE,"4711D","NAFRev2","1 B Rue DE PREDIEU, 38120, SAINT-EGREVE","383820203",TRUE
"44433064100952","444330641","ALDI MARCHE","ALDI MARCHE","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2021-03-08",FALSE,,FALSE,"4711D","NAFRev2","Avenue VICTOR HUGO, 38130, ECHIROLLES","381510201",FALSE
"94515324500010","945153245",,"CARREFOUR CITY","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2025-05-28",FALSE,,FALSE,"4711D","NAFRev2","25 Avenue MARECHAL RANDON, 38000, GRENOBLE","381850209",TRUE
"34326262218703","343262622",,"LIDL","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2012-05-09",FALSE,,FALSE,"4711D","NAFRev2","Avenue GENERAL LECLERC, 38950, SAINT-MARTIN-LE-VINOUX","384230101",TRUE
"34326262202541","343262622",,,"denominatio",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","1994-03-03",FALSE,,FALSE,"4711D","NAFRev2","3 Avenue DE ROMANS, 38360, SASSENAGE","384740101",FALSE
"34326262224263","343262622","SNC LIDL","LIDL","enseigne_de","SNC LIDL",,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2020-09-02",FALSE,,FALSE,"4711D","NAFRev2","20 Avenue DE GRENOBLE, 38170, SEYSSINET-PARISET","384850103",FALSE
"34326262200958","343262622","SNC LIDL","LIDL","enseigne_de","SNC LIDL",,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","1991-12-03",FALSE,,FALSE,"4711D","NAFRev2","17 Rue DES GLAIRONS, 38400, SAINT-MARTIN-D'HERES","384210603",FALSE
"90272346900026","902723469",,"CARREFOUR EXPRESS","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2024-02-01",FALSE,,FALSE,"4711D","NAFRev2","47 Avenue DE CHARTREUSE, 38240, MEYLAN","382290302",TRUE
"50751360400029","507513604",,"UTILE","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2014-12-31",FALSE,,FALSE,"4711D","NAFRev2","8 Rue HOCHE, 38000, GRENOBLE","381850212",TRUE
"94210171800016","942101718",,"SUPER MARCHE SAVEURS ISTANBUL","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2025-03-14",FALSE,,FALSE,"4711D","NAFRev2","182 Avenue AMBROISE CROIZAT, 38400, SAINT-MARTIN-D'HERES","384210502",FALSE
"84287351500014","842873515",,"CARREFOUR CONTACT","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2018-10-23",TRUE,,FALSE,"4711D","NAFRev2","12 Rue ANDRE ARGOUGES, 38100, GRENOBLE","381850503",TRUE
"42826802303410","428268023",,,"denominatio",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2000-07-01",FALSE,,FALSE,"4711F","NAFRev2","120 Boulevard PAUL LANGEVIN, 38600, FONTAINE","381690110",FALSE
"42826802300986","428268023",,,"denominatio",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2000-07-01",FALSE,,FALSE,"4711D","NAFRev2","46 Cours JEAN JAURES, 38130, ECHIROLLES","381510101",FALSE
"88960945900017","889609459",,"MARKET","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2020-11-01",FALSE,,FALSE,"4711D","NAFRev2","135 Avenue GABRIEL PERI, 38400, SAINT-MARTIN-D'HERES","384210603",FALSE
"85006670500011","850066705",,"CARREFOUR CONTACT","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2019-04-18",FALSE,,FALSE,"4711D","NAFRev2","39 Boulevard JOLIOT CURIE, 38600, FONTAINE","381690104",FALSE
"33489707100034","334897071",,"INTERMARCHE","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","1994-11-18",FALSE,,FALSE,"4711D","NAFRev2","13 Boulevard MARECHAL FOCH, 38000, GRENOBLE","381850402",TRUE
"42826802302370","428268023",,,"denominatio",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2000-07-01",FALSE,,FALSE,"4711D","NAFRev2","26 Cours BERRIAT, 38000, GRENOBLE","381850203",TRUE
"33762215300019","337622153",,,"denominatio",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","1986-04-01",FALSE,,FALSE,"4711F","NAFRev2","Rue DU PRE RUFFIER, 38400, SAINT-MARTIN-D'HERES","384210301",FALSE
"98261290500017","982612905",,,"denominatio",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2024-01-04",FALSE,,FALSE,"4711D","NAFRev2","18 Rue DE STRASBOURG, 38000, GRENOBLE","381850212",TRUE
"44028375206264","440283752",,"CARREFOUR MARKET","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2004-06-23",FALSE,,FALSE,"4711D","NAFRev2","Rue DU 19 MARS 1962, 38360, SASSENAGE","384740104",FALSE
"53311993900031","533119939",,"CARREFOUR CITY","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2018-09-14",FALSE,,FALSE,"4711D","NAFRev2","2 Avenue FELIX VIALLET, 38000, GRENOBLE","381850204",TRUE
"45132133502185","451321335",,"CARREFOUR","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2013-11-01",TRUE,,FALSE,"4711F","NAFRev2","1 Rue DES ABATTOIRS, 38120, SAINT-EGREVE","383820101",TRUE
"83888448400018","838884484",,"CARREFOUR EXPRESS","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2018-04-09",FALSE,,FALSE,"4711D","NAFRev2","66 Avenue DES MARTYRS, 38000, GRENOBLE","381850102",TRUE
"99156761100017","991567611",,"CARREFOUR MARKET","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2025-09-17",FALSE,,FALSE,"4711D","NAFRev2","135 Avenue GABRIEL PERI, 38400, SAINT-MARTIN-D'HERES","384210603",FALSE
"43499721900028","434997219",,,"denominatio",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2005-10-01",FALSE,,FALSE,"4711D","NAFRev2","13 Avenue ALBERT 1ER DE BELGIQUE, 38000, GRENOBLE","381850404",TRUE
"32880337400011","328803374",,"INTERMARCHE","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","1983-11-16",TRUE,,FALSE,"4711D","NAFRev2","15 Route DE LYON, 38000, GRENOBLE","381850201",TRUE
"52413938300029","524139383",,,"denominatio",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2010-09-01",FALSE,,FALSE,"4711D","NAFRev2","10 Boulevard PAUL LANGEVIN, 38600, FONTAINE","381690111",FALSE
"94959876700018","949598767",,"CARREFOUR CITY","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2023-04-01",FALSE,,FALSE,"4711D","NAFRev2","24 Rue DE NORMANDIE-NIEMEN, 38130, ECHIROLLES","381510402",FALSE
"43397829300028","433978293",,,"denominatio",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2002-05-14",TRUE,,FALSE,"4711D","NAFRev2","10 Rue EDOUARD VAILLANT, 38100, GRENOBLE","381850411",TRUE
"83187617200022","831876172",,"CARREFOUR CITY","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2020-05-19",FALSE,,FALSE,"4711D","NAFRev2","29 Boulevard DE L’EUROPE, 38170, SEYSSINET-PARISET","384850101",FALSE
"40098842400505","400988424",,"CARREFOUR CITY","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2024-07-15",TRUE,,FALSE,"4711D","NAFRev2","7 Square DES FUSILLES, 38000, GRENOBLE","381850301",TRUE
"99284098300017","992840983","KAYI MARKET","KAYI EXPRESS","enseigne_de","KAYI MARKET",,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2025-10-16",FALSE,,FALSE,"4711D","NAFRev2","10 Rue DE NORMANDIE, 38130, ECHIROLLES","381510402",FALSE
"41040901501228","410409015",,"AUCHAN SUPERMARCHE","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","1998-11-02",FALSE,,FALSE,"4711D","NAFRev2","112 Avenue JEAN PERROT, 38100, GRENOBLE","381850601",TRUE
"55208329701786","552083297",,"MONOPRIX","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2004-03-31",FALSE,,FALSE,"4711D","NAFRev2","3 Rue CHARLES LORY, 38000, GRENOBLE","381850303",TRUE
"41040901502747","410409015",,"AUCHAN SUPERMARCHE","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2002-09-25",FALSE,,FALSE,"4711D","NAFRev2","58 Boulevard MARECHAL FOCH, 38000, GRENOBLE","381850401",TRUE
"88512470100032","885124701",,,"denominatio",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2021-08-01",FALSE,,FALSE,"4711D","NAFRev2","102 Avenue MARCEL CACHIN, 38400, SAINT-MARTIN-D'HERES","384210302",FALSE
"41040901503372","410409015",,"AUCHAN SUPERMARCHE","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2007-08-13",FALSE,,FALSE,"4711D","NAFRev2","10 Avenue MARIE REYNOARD, 38100, GRENOBLE","381850608",TRUE
"41040901501210","410409015",,"AUCHAN SUPERMARCHE","enseigne_de",,,FALSE,FALSE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","1998-11-02",FALSE,,FALSE,"4711D","NAFRev2","35 Rue DE STALINGRAD, 38100, GRENOBLE","381850408",TRUE
"88340923700012","883409237","UTILE","UTILE","enseigne_de",,,FALSE,TRUE,TRUE,"Commerce de détail en magasin non spécialisé à prédominance alimentaire","2020-05-14",FALSE,,FALSE,"4711D","NAFRev2","8 Rue HOCHE, 38000, GRENOBLE","381850212",TRUE
